"","especies","use","url"
"1","Abarema cochleata","",""
"2","Acalypha villosa","",""
"3","Acritopappus confertus","",""
"4","Acritopappus heterolepis","",""
"5","Actinostemon verticillatus","",""
"6","Aegiphila fluminensis","",""
"7","Aegiphila obducta","",""
"8","Aegiphila pernambucensis","",""
"9","Agarista oleifolia","",""
"10","Aiouea saligna","",""
"11","Allagoptera caudescens","use","http://tropical.theferns.info/viewtropical.php?id=Allagoptera+caudescens"
"12","Allophylus quercifolius","",""
"13","Alseis floribunda","use","http://tropical.theferns.info/viewtropical.php?id=Alseis+floribunda"
"14","Alseis pickelii","",""
"15","Amanoa oblongifolia","",""
"16","Andira anthelmia","use","http://tropical.theferns.info/viewtropical.php?id=Andira+anthelmia"
"17","Andira cordata","",""
"18","Andira legalis","use","http://tropical.theferns.info/viewtropical.php?id=Andira+legalis"
"19","Andira nitida","use","http://tropical.theferns.info/viewtropical.php?id=Andira+nitida"
"20","Andira ormosioides","",""
"21","Angostura bracteata","",""
"22","Aniba burchellii","",""
"23","Aniba desertorum","",""
"24","Aniba firmula","use","http://tropical.theferns.info/viewtropical.php?id=Aniba+firmula"
"25","Annona aurantiaca","use","http://tropical.theferns.info/viewtropical.php?id=Annona+aurantiaca"
"26","Annona dolabripetala","use","http://tropical.theferns.info/viewtropical.php?id=Annona+dolabripetala"
"27","Annona neosericea","use","http://tropical.theferns.info/viewtropical.php?id=Annona+neosericea"
"28","Annona rugulosa","use","http://tropical.theferns.info/viewtropical.php?id=Annona+rugulosa"
"29","Annona salzmannii","use","http://tropical.theferns.info/viewtropical.php?id=Annona+salzmannii"
"30","Annona sylvatica","use","http://tropical.theferns.info/viewtropical.php?id=Annona+sylvatica"
"31","Annona vepretorum","use","http://tropical.theferns.info/viewtropical.php?id=Annona+vepretorum"
"32","Aspidosperma discolor","use","http://tropical.theferns.info/viewtropical.php?id=Aspidosperma+discolor"
"33","Aspidosperma multiflorum","",""
"34","Aspidosperma pyricollum","",""
"35","Astronium concinnum","use","http://tropical.theferns.info/viewtropical.php?id=Astronium+concinnum"
"36","Aureliana velutina","",""
"37","Averrhoidium gardnerianum","",""
"38","Baccharis oreophila","",""
"39","Bactris setosa","use","http://tropical.theferns.info/viewtropical.php?id=Bactris+setosa"
"40","Balfourodendron molle","",""
"41","Banara parviflora","",""
"42","Barnebya harleyi","",""
"43","Bathysa stipulata","",""
"44","Bauhinia catingae","",""
"45","Bauhinia curvula","",""
"46","Bauhinia pulchella","",""
"47","Bellucia dichotoma","use","http://tropical.theferns.info/viewtropical.php?id=Bellucia+dichotoma"
"48","Bellucia egensis","",""
"49","Bernardia tamanduana","",""
"50","Blanchetiodendron blanchetii","",""
"51","Bonnetia stricta","use","http://tropical.theferns.info/viewtropical.php?id=Bonnetia+stricta"
"52","Bougainvillea glabra","use","http://tropical.theferns.info/viewtropical.php?id=Bougainvillea+glabra"
"53","Bredemeyera hebeclada","",""
"54","Brunfelsia clandestina","",""
"55","Brunfelsia pauciflora","",""
"56","Byrsonima affinis","",""
"57","Byrsonima basiloba","use","http://tropical.theferns.info/viewtropical.php?id=Byrsonima+basiloba"
"58","Byrsonima clausseniana","",""
"59","Byrsonima correifolia","",""
"60","Byrsonima gardneriana","",""
"61","Byrsonima guilleminiana","",""
"62","Byrsonima lancifolia","use","http://tropical.theferns.info/viewtropical.php?id=Byrsonima+lancifolia"
"63","Byrsonima laxiflora","",""
"64","Byrsonima ligustrifolia","",""
"65","Byrsonima pachyphylla","",""
"66","Byrsonima rotunda","",""
"67","Byrsonima stannardii","",""
"68","Byrsonima umbellata","",""
"69","Byrsonima vacciniifolia","",""
"70","Calliandra asplenioides","",""
"71","Calliandra depauperata","",""
"72","Calliandra leptopoda","",""
"73","Calliandra spinosa","",""
"74","Callianthe rufinerva","",""
"75","Callisthene microphylla","",""
"76","Callisthene minor","use","http://tropical.theferns.info/viewtropical.php?id=Callisthene+minor"
"77","Callisthene mollissima","",""
"78","Calyptranthes brasiliensis","",""
"79","Calyptranthes clusiifolia","use","http://tropical.theferns.info/viewtropical.php?id=Calyptranthes+clusiifolia"
"80","Calyptranthes grammica","",""
"81","Calyptranthes lanceolata","",""
"82","Calyptranthes strigipes","",""
"83","Calyptranthes widgreniana","",""
"84","Campomanesia dichotoma","use","http://tropical.theferns.info/viewtropical.php?id=Campomanesia+dichotoma"
"85","Campomanesia ilhoensis","",""
"86","Campomanesia velutina","",""
